id,has_glasses,skin_tone,hair_type,gender,age_group,personality,height
1,Yes,Medium,Curly,Male,Teen,Friendly,Taller
2,No,Dark,Straight,Female,Teen,Confident,Shorter
3,Yes,Dark,Curly,Female,Adult,Shy,Taller
4,Yes,Fair,Wavy,Male,Senior,Rude,Taller
5,No,Fair,Curly,Female,Senior,Confident,Shorter
6,No,Medium,Wavy,Female,Teen,Friendly,Shorter
7,Yes,Medium,Straight,Female,Senior,Rude,Taller
8,Yes,Dark,Curly,Male,Adult,Rude,Medium
9,Yes,Medium,Wavy,Female,Teen,Shy,Taller
10,Yes,Medium,Wavy,Other,Teen,Friendly,Taller
11,No,Fair,Curly,Male,Adult,Confident,Taller
12,No,Dark,Curly,Female,Adult,Shy,Taller
13,No,Fair,Wavy,Female,Teen,Friendly,Shorter
14,No,Dark,Curly,Other,Teen,Polite,Taller
15,No,Fair,Curly,Female,Teen,Confident,Medium
16,No,Medium,Curly,Other,Senior,Rude,Shorter
17,Yes,Fair,Curly,Male,Adult,Rude,Medium
18,No,Fair,Straight,Other,Senior,Friendly,Medium
19,Yes,Fair,Wavy,Other,Teen,Shy,Medium
20,Yes,Fair,Curly,Female,Senior,Friendly,Medium
21,No,Medium,Straight,Other,Senior,Rude,Shorter
22,Yes,Dark,Curly,Female,Teen,Polite,Shorter
23,No,Dark,Curly,Female,Senior,Confident,Medium
24,No,Dark,Wavy,Other,Senior,Confident,Medium
25,No,Dark,Curly,Male,Teen,Polite,Shorter
26,Yes,Medium,Wavy,Male,Adult,Confident,Shorter
27,No,Dark,Curly,Female,Senior,Polite,Shorter
28,No,Dark,Curly,Male,Senior,Shy,Taller
29,Yes,Fair,Wavy,Other,Teen,Friendly,Taller
30,Yes,Dark,Wavy,Other,Senior,Friendly,Taller
31,No,Dark,Straight,Other,Teen,Friendly,Medium
32,No,Medium,Curly,Female,Teen,Shy,Taller
33,No,Medium,Wavy,Male,Senior,Friendly,Medium
34,No,Medium,Curly,Male,Adult,Rude,Medium
35,No,Fair,Straight,Other,Senior,Friendly,Taller
36,No,Dark,Wavy,Male,Teen,Confident,Medium
37,No,Fair,Straight,Other,Adult,Polite,Taller
38,Yes,Medium,Curly,Other,Senior,Rude,Taller
39,Yes,Dark,Curly,Other,Senior,Shy,Shorter
40,Yes,Fair,Wavy,Female,Senior,Shy,Taller
41,No,Dark,Curly,Other,Senior,Confident,Shorter
42,No,Fair,Curly,Other,Teen,Shy,Taller
43,Yes,Fair,Straight,Female,Adult,Shy,Taller
44,No,Medium,Wavy,Male,Adult,Shy,Shorter
45,Yes,Dark,Straight,Female,Teen,Rude,Shorter
46,No,Medium,Wavy,Other,Teen,Polite,Taller
47,No,Fair,Straight,Male,Teen,Rude,Medium
48,No,Fair,Straight,Male,Senior,Friendly,Shorter
49,Yes,Fair,Curly,Other,Senior,Friendly,Medium
50,Yes,Dark,Curly,Female,Adult,Polite,Medium
51,Yes,Dark,Wavy,Other,Adult,Rude,Medium
52,Yes,Medium,Curly,Female,Teen,Confident,Shorter
53,No,Medium,Curly,Female,Teen,Polite,Medium
54,Yes,Dark,Straight,Male,Adult,Rude,Shorter
55,No,Dark,Wavy,Other,Senior,Confident,Medium
56,Yes,Fair,Curly,Other,Senior,Confident,Taller
57,Yes,Fair,Curly,Female,Teen,Confident,Taller
58,Yes,Fair,Curly,Female,Teen,Rude,Shorter
59,Yes,Fair,Straight,Male,Teen,Friendly,Taller
60,No,Dark,Wavy,Female,Adult,Rude,Taller
61,No,Medium,Straight,Other,Adult,Friendly,Medium
62,No,Medium,Straight,Other,Senior,Shy,Shorter
63,No,Medium,Wavy,Male,Teen,Confident,Medium
64,Yes,Medium,Wavy,Other,Adult,Polite,Medium
65,Yes,Dark,Straight,Female,Senior,Shy,Medium
66,Yes,Medium,Wavy,Female,Senior,Confident,Medium
67,No,Medium,Curly,Female,Senior,Friendly,Medium
68,Yes,Medium,Straight,Male,Senior,Rude,Medium
69,Yes,Fair,Wavy,Female,Adult,Rude,Medium
70,No,Fair,Curly,Female,Senior,Confident,Shorter
71,No,Fair,Wavy,Female,Adult,Confident,Taller
72,Yes,Medium,Curly,Male,Senior,Shy,Medium
73,No,Medium,Wavy,Female,Adult,Friendly,Medium
74,Yes,Fair,Curly,Female,Teen,Friendly,Medium
75,No,Medium,Curly,Male,Senior,Polite,Medium
76,Yes,Medium,Straight,Female,Teen,Shy,Medium
77,Yes,Fair,Straight,Male,Adult,Rude,Medium
78,Yes,Dark,Curly,Female,Senior,Polite,Taller
79,No,Medium,Straight,Female,Teen,Friendly,Taller
80,Yes,Dark,Straight,Other,Senior,Shy,Medium
81,No,Medium,Straight,Other,Teen,Friendly,Taller
82,No,Medium,Wavy,Male,Senior,Confident,Shorter
83,Yes,Medium,Straight,Other,Senior,Rude,Medium
84,Yes,Medium,Curly,Female,Teen,Friendly,Shorter
85,Yes,Medium,Curly,Female,Teen,Friendly,Shorter
86,No,Dark,Wavy,Male,Adult,Rude,Medium
87,No,Medium,Wavy,Other,Teen,Friendly,Taller
88,Yes,Medium,Curly,Female,Teen,Shy,Shorter
89,No,Medium,Wavy,Male,Adult,Polite,Medium
90,Yes,Medium,Straight,Other,Senior,Confident,Shorter
91,No,Dark,Wavy,Male,Teen,Rude,Shorter
92,Yes,Dark,Wavy,Male,Teen,Confident,Shorter
93,Yes,Medium,Wavy,Other,Senior,Friendly,Shorter
94,Yes,Dark,Straight,Female,Teen,Shy,Taller
95,No,Dark,Straight,Female,Senior,Polite,Shorter
96,Yes,Medium,Curly,Female,Adult,Confident,Shorter
97,Yes,Medium,Curly,Male,Senior,Confident,Shorter
98,No,Dark,Curly,Male,Adult,Shy,Taller
99,Yes,Fair,Wavy,Other,Adult,Rude,Shorter
100,No,Dark,Wavy,Other,Teen,Polite,Shorter
