Product_ID,Product_Name,Form,Ashwagandha,Triphala,Amalaki,Haritaki,Bibhitaki,Neem,Tulsi,Brahmi,Shankhpushpi,Turmeric,Ginger,Garlic,Clove,Cardamom,Cinnamon,Pepper,Licorice,Guduchi,Shatavari,AloeVera,Moringa,Fenugreek,Cumin,Coriander,Mustard,Saffron,Nutmeg,Fennel,Camphor,Jatamansi,Kesar,Pippali,Punarnava,Arjuna,Guggulu,Manjistha,Kalonji,Baheda,Giloy,Daruharidra,Vidanga,Hibiscus,AmlaOil,Ashoka,Bhringraj,SafedMusli,KaunchBeej,Palash,Agarwood,Chitrak,Proportion_Others,Price,Dosage(g),Shelf_Life(months),Preparation_Method,Speciality
P0001,Product_1,Decoction,0.02,0.01,0.04,0,0,0.01,0.01,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.03,0.01,0.02,0.02,0.01,0.04,0.01,0.01,0.03,0.01,0.03,0,0.02,0.01,0.01,0.02,0,0.02,0.03,0.01,0.03,0.01,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0,0,0,0.02,0,0.13,679,0.44,12,Fermentation,Weight Loss
P0002,Product_2,Tablet,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.03,0.03,0,0.02,0.02,0.02,0.01,0.01,0,0.01,0.03,0.01,0,0.02,0.01,0,0,0.02,0.03,0.02,0.03,0.01,0.01,0.03,0.01,0.01,0.01,0.12,679,0.27,36,Extract,Weight Loss
P0003,Product_3,Decoction,0,0.04,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0,0.03,0,0.04,0.03,0,0.03,0.01,0.02,0.01,0.04,0.01,0.03,0.03,0.04,0.03,0.02,0.01,0.04,0.01,0.02,0.02,0,0,0.01,0.01,0.02,0.02,0,0.01,0.01,0.02,0.01,0.01,0.03,0.02,0.03,0.01,0,0,0.04,0.1,958,0.4,36,TabletCompression,Diabetes Management
P0004,Product_4,Powder,0.01,0,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.03,0.03,0.02,0.03,0.03,0.01,0.01,0,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.03,0.01,0.02,0.03,0.02,0.01,0.03,0.02,0.03,0.03,0.02,0,0.01,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0,0.02,0.09,963,0.29,36,PowderBlend,Joint Pain Relief
P0005,Product_5,Powder,0.03,0,0.03,0.03,0,0.01,0.02,0.02,0.02,0,0.03,0.01,0.01,0.04,0,0,0.03,0.01,0.02,0.02,0.04,0.01,0.02,0.03,0.02,0.02,0.01,0.02,0,0.04,0.02,0.01,0.03,0.03,0.01,0.03,0.01,0.02,0.03,0,0.02,0.02,0.02,0.01,0.03,0.03,0.04,0,0,0.02,0.08,551,0.51,24,Decoction,Cardiac Health
P0006,Product_6,Powder,0.01,0.03,0.01,0.02,0.03,0.02,0.01,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.03,0.02,0.01,0.03,0.01,0,0,0.02,0.03,0.03,0.02,0,0.03,0.01,0,0.02,0,0,0.02,0,0.02,0.02,0.01,0.02,0.01,0.03,0.03,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.01,0.15,399,0.25,36,PowderBlend,Diabetes Management
P0007,Product_7,Paste,0.01,0.04,0.04,0.01,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.01,0.02,0.03,0.01,0.02,0.03,0.02,0,0.01,0.04,0.02,0,0,0,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.03,0,0.04,0.01,0.02,0.02,0.01,0.01,0.04,0.02,0,0,0.02,0.01,0.01,0.08,963,0.59,36,Decoction,Cardiac Health
P0008,Product_8,Tablet,0.02,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.03,0.01,0.01,0,0.03,0.01,0.01,0.03,0,0.03,0.02,0.03,0.03,0.01,0.02,0.01,0.03,0,0.01,0.02,0.03,0.02,0.03,0.03,0,0.02,0.02,0,0.03,0.02,0.02,0.02,0.12,792,0.56,36,Decoction,Immunity Booster
P0009,Product_9,Paste,0.02,0.03,0.03,0.02,0,0.01,0.01,0.03,0.01,0.02,0.02,0.03,0.02,0.03,0.03,0,0.03,0,0.03,0.02,0.02,0.02,0.03,0.03,0,0.03,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.02,0.02,0.02,0.03,0.02,0,0,0,0.03,0.01,0.02,0.03,0.01,0,0.11,612,0.55,12,PowderBlend,Respiratory Health
P0010,Product_10,Tablet,0.02,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.01,0,0.03,0,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0,0.03,0.02,0.01,0,0.03,0.03,0.01,0.03,0.03,0.02,0.03,0,0.02,0.01,0.03,0.02,0.02,0,0.02,0.03,0.01,0,0.02,0.01,0,0.03,0.01,0.03,0.03,0.01,0.13,505,0.41,12,Fermentation,Memory & Cognition
P0011,Product_11,Powder,0.01,0.03,0.02,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.02,0,0.01,0,0.01,0.01,0.03,0.01,0.03,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0,0.01,0.03,0.01,0.03,0.01,0,0.01,0.03,0.01,0.02,0.02,0.03,0.02,0.11,670,0.22,18,Decoction,Immunity Booster
P0012,Product_12,Tablet,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.03,0,0.02,0.03,0,0,0.01,0,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.03,0.03,0.03,0.01,0.03,0.01,0,0.03,0.01,0.02,0.03,0.03,0.01,0.03,0.02,0,0.02,0.03,0.02,0.01,0.03,0.02,0.03,0.11,420,0.31,36,Fermentation,Diabetes Management
P0013,Product_13,Powder,0,0.04,0.02,0.04,0.01,0.03,0.02,0,0.02,0,0.04,0,0,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0,0.01,0.03,0.02,0.02,0.01,0.03,0.03,0.02,0.01,0.02,0.04,0.01,0.03,0.03,0.03,0,0.02,0.01,0,0.03,0.03,0,0.01,0.03,0.01,0.02,0.03,0.08,573,0.54,24,Fermentation,Diabetes Management
P0014,Product_14,Syrup,0.01,0.02,0.02,0.02,0.03,0.02,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0.01,0.01,0.01,0.02,0.03,0.02,0.04,0.02,0.01,0.02,0.01,0.01,0.03,0,0,0.04,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.01,0.01,0.01,0.03,0.03,0.09,416,0.24,12,Fermentation,Respiratory Health
P0015,Product_15,Decoction,0.03,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.03,0.03,0.01,0.03,0,0.02,0.02,0.03,0.01,0.02,0,0.03,0.02,0.03,0.01,0.02,0.03,0.01,0,0.02,0,0.03,0.03,0.03,0.03,0,0.02,0,0.01,0.01,0.03,0.03,0.02,0.03,0.03,0.01,0,0.03,0.03,0.01,0,0.01,0.11,859,0.4,24,Decoction,Stress & Anxiety
P0016,Product_16,Tablet,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0,0.03,0.03,0.02,0.02,0.02,0,0,0.02,0.02,0.01,0.03,0,0.02,0.02,0.04,0.01,0,0,0.02,0.03,0.01,0.01,0.04,0.03,0.03,0.04,0.04,0.01,0.02,0.01,0,0.02,0.03,0.01,0.03,0.02,0.02,0.01,0.1,393,0.32,36,Decoction,Diabetes Management
P0017,Product_17,Syrup,0.01,0.03,0.02,0.03,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.04,0.02,0.03,0.02,0.02,0,0.02,0.03,0.02,0.01,0.03,0.03,0.02,0.02,0.01,0,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.04,0.01,0,0.04,0.01,0,0.03,0.03,0.02,0.01,0.02,0.01,0.02,0.09,843,0.45,12,Decoction,Digestive Cleanser
P0018,Product_18,Paste,0,0.02,0.02,0.01,0.03,0.02,0.04,0.02,0.02,0.01,0.04,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.03,0.03,0,0.02,0,0.01,0.04,0.03,0,0.04,0.02,0.03,0.02,0.04,0.01,0.02,0,0.01,0.03,0.01,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.07,855,0.52,24,Fermentation,Cardiac Health
P0019,Product_19,Tablet,0.01,0.02,0.03,0.01,0.02,0.03,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.02,0,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.01,0.02,0,0,0.02,0.02,0.02,0.03,0.03,0.01,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.03,0.03,0.1,881,0.55,24,TabletCompression,Memory & Cognition
P0020,Product_20,Capsule,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.02,0,0.02,0.01,0.02,0.02,0.03,0,0,0,0.01,0.02,0.03,0.01,0.01,0,0.02,0.03,0.02,0,0.03,0.02,0.04,0.04,0.01,0.04,0,0.03,0.02,0.01,0.03,0.01,0.01,0,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.15,614,0.54,18,PowderBlend,Women's Health
P0021,Product_21,Powder,0.03,0.01,0.02,0,0.02,0.02,0.03,0,0.02,0.03,0.02,0.03,0.01,0,0.03,0.02,0,0.03,0.03,0.04,0,0.02,0,0.02,0.02,0.02,0,0.02,0.02,0.03,0,0.03,0.02,0,0.02,0.03,0.01,0,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0,0.04,0.02,0.01,0.11,948,0.25,24,PowderBlend,Kidney Care
P0022,Product_22,Powder,0,0,0.02,0,0,0.03,0.01,0.01,0,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.03,0.03,0.02,0.01,0.01,0.02,0.03,0.03,0.02,0.03,0.04,0.03,0.03,0.03,0.02,0,0.02,0.02,0.02,0,0.04,0.03,0.03,0.02,0.02,0,0.04,0.02,0.01,0.02,0,0.03,0.03,0.08,819,0.29,24,Fermentation,Hair & Scalp Care
